Country or region,year,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Score
Senegal,2019,0.45,1.134,0.571,0.292,0.153,0.072,4.681
Somalia,2019,0,0.698,0.268,0.559,0.243,0.27,4.668
Namibia,2019,0.879,1.313,0.477,0.401,0.07,0.056,4.639
Niger,2019,0.138,0.774,0.366,0.318,0.188,0.102,4.628
Burkina Faso,2019,0.331,1.056,0.38,0.255,0.177,0.113,4.587
Armenia,2019,0.85,1.055,0.815,0.283,0.095,0.064,4.559
Iran,2019,1.1,0.842,0.785,0.305,0.27,0.125,4.548
Guinea,2019,0.38,0.829,0.375,0.332,0.207,0.086,4.534
Georgia,2019,0.886,0.666,0.752,0.346,0.043,0.164,4.519
Gambia,2019,0.308,0.939,0.428,0.382,0.269,0.167,4.516
Kenya,2019,0.512,0.983,0.581,0.431,0.372,0.053,4.509
Mauritania,2019,0.57,1.167,0.489,0.066,0.106,0.088,4.49
Mozambique,2019,0.204,0.986,0.39,0.494,0.197,0.138,4.466
Tunisia,2019,0.921,1,0.815,0.167,0.059,0.055,4.461
Bangladesh,2019,0.562,0.928,0.723,0.527,0.166,0.143,4.456
Iraq,2019,1.043,0.98,0.574,0.241,0.148,0.089,4.437
Congo (Kinshasa),2019,0.094,1.125,0.357,0.269,0.212,0.053,4.418
Mali,2019,0.385,1.105,0.308,0.327,0.153,0.052,4.39
Sierra Leone,2019,0.268,0.841,0.242,0.309,0.252,0.045,4.374
Sri Lanka,2019,0.949,1.265,0.831,0.47,0.244,0.047,4.366
Myanmar,2019,0.71,1.181,0.555,0.525,0.566,0.172,4.36
Chad,2019,0.35,0.766,0.192,0.174,0.198,0.078,4.35
Ukraine,2019,0.82,1.39,0.739,0.178,0.187,0.01,4.332
Ethiopia,2019,0.336,1.033,0.532,0.344,0.209,0.1,4.286
Swaziland,2019,0.811,1.149,0,0.313,0.074,0.135,4.212
Uganda,2019,0.332,1.069,0.443,0.356,0.252,0.06,4.189
Egypt,2019,0.913,1.039,0.644,0.241,0.076,0.067,4.166
Zambia,2019,0.578,1.058,0.426,0.431,0.247,0.087,4.107
Togo,2019,0.275,0.572,0.41,0.293,0.177,0.085,4.085
India,2019,0.755,0.765,0.588,0.498,0.2,0.085,4.015
Liberia,2019,0.073,0.922,0.443,0.37,0.233,0.033,3.975
Comoros,2019,0.274,0.757,0.505,0.142,0.275,0.078,3.973
Madagascar,2019,0.274,0.916,0.555,0.148,0.169,0.041,3.933
Lesotho,2019,0.489,1.169,0.168,0.359,0.107,0.093,3.802
Burundi,2019,0.046,0.447,0.38,0.22,0.176,0.18,3.775
Zimbabwe,2019,0.366,1.114,0.433,0.361,0.151,0.089,3.663
Haiti,2019,0.323,0.688,0.449,0.026,0.419,0.11,3.597
Botswana,2019,1.041,1.145,0.538,0.455,0.025,0.1,3.488
Syria,2019,0.619,0.378,0.44,0.013,0.331,0.141,3.462
Malawi,2019,0.191,0.56,0.495,0.443,0.218,0.089,3.41
Yemen,2019,0.287,1.163,0.463,0.143,0.108,0.077,3.38
Rwanda,2019,0.359,0.711,0.614,0.555,0.217,0.411,3.334
Tanzania,2019,0.476,0.885,0.499,0.417,0.276,0.147,3.231
Afghanistan,2019,0.35,0.517,0.361,0,0.158,0.025,3.203
Central African Republic,2019,0.026,0,0.105,0.225,0.235,0.035,3.083
South Sudan,2019,0.306,0.575,0.295,0.01,0.202,0.091,2.853
Finland,2018,1.305,1.592,0.874,0.681,0.202,0.393,7.632
